iter	Passed	Remaining
1382	46962	54908
1383	46998	54877
1384	47042	54854
1385	47075	54818
1386	47105	54780
1387	47133	54739
1388	47163	54701
1389	47189	54658
1390	47216	54616
1391	47245	54576
1392	47276	54539
1393	47302	54496
1394	47330	54455
1395	47364	54421
1396	47395	54384
1397	47426	54347
1398	47464	54318
1399	47494	54279
1400	47524	54241
1401	47555	54204
1402	47586	54166
1403	47616	54127
1404	47642	54085
1405	47676	54051
1406	47710	54017
1407	47747	53987
1408	47781	53953
1409	47817	53921
1410	47851	53888
1411	47888	53857
1412	47920	53821
1413	47938	53769
1414	47975	53739
1415	48014	53711
1416	48048	53677
1417	48080	53641
1418	48113	53606
1419	48146	53571
1420	48193	53551
1421	48238	53530
1422	48280	53506
1423	48328	53487
1424	48358	53449
1425	48386	53407
1426	48419	53373
1427	48452	53338
1428	48482	53300
1429	48512	53262
1430	48543	53225
1431	48575	53188
1432	48606	53152
1433	48637	53114
1434	48665	53074
1435	48699	53040
1436	48729	53002
1437	48762	52966
1438	48789	52926
1439	48812	52880
1440	48840	52840
1441	48866	52797
1442	48893	52756
1443	48921	52716
1444	48954	52680
1445	48983	52641
1446	49013	52603
1447	49049	52572
1448	49078	52533
1449	49106	52492
1450	49132	52450
1451	49160	52410
1452	49187	52369
1453	49215	52329
1454	49242	52287
1455	49274	52252
1456	49303	52213
1457	49329	52171
1458	49355	52129
1459	49382	52088
1460	49408	52046
1461	49441	52011
1462	49469	51972
1463	49495	51930
1464	49520	51886
1465	49548	51846
1466	49579	51809
1467	49603	51766
1468	49633	51728
1469	49662	51689
1470	49688	51647
1471	49713	51605
1472	49740	51564
1473	49769	51525
1474	49798	51486
1475	49824	51444
1476	49851	51403
1477	49883	51368
1478	49909	51327
1479	49939	51289
1480	49965	51247
1481	49998	51212
1482	50023	51170
1483	50052	51132
1484	50081	51092
1485	50109	51053
1486	50136	51012
1487	50162	50972
1488	50192	50933
1489	50223	50898
1490	50251	50857
1491	50277	50816
1492	50306	50778
1493	50333	50737
1494	50360	50697
1495	50392	50661
1496	50426	50628
1497	50457	50592
1498	50492	50559
1499	50525	50525
1500	50556	50488
1501	50582	50448
1502	50611	50409
1503	50644	50374
1504	50675	50339
1505	50700	50296
1506	50727	50255
1507	50755	50217
1508	50782	50177
1509	50809	50136
1510	50838	50098
1511	50866	50058
1512	50890	50015
1513	50919	49977
1514	50946	49937
1515	50971	49895
1516	51000	49857
1517	51028	49818
1518	51056	49778
1519	51082	49738
1520	51105	49694
1521	51133	49655
1522	51161	49616
1523	51185	49572
1524	51213	49534
1525	51237	49491
1526	51268	49455
1527	51297	49417
1528	51324	49377
1529	51349	49335
1530	51378	49297
1531	51404	49257
1532	51431	49216
1533	51458	49177
1534	51482	49135
1535	51509	49094
1536	51532	49051
1537	51558	49011
1538	51584	48969
1539	51609	48928
1540	51633	48885
1541	51658	48843
1542	51680	48799
1543	51714	48766
1544	51748	48734
1545	51777	48696
1546	51804	48656
1547	51832	48617
1548	51858	48577
1549	51886	48538
1550	51913	48499
1551	51948	48467
1552	51976	48428
1553	52002	48388
1554	52028	48347
1555	52056	48309
1556	52086	48272
1557	52115	48234
1558	52144	48197
1559	52172	48159
1560	52205	48125
1561	52235	48088
1562	52273	48059
1563	52303	48022
1564	52325	47979
1565	52350	47938
1566	52372	47893
1567	52406	47861
1568	52439	47827
1569	52467	47788
1570	52493	47748
1571	52518	47707
1572	52548	47670
1573	52579	47635
1574	52606	47596
1575	52639	47562
1576	52663	47521
1577	52690	47481
1578	52714	47439
1579	52737	47396
1580	52761	47355
1581	52786	47314
1582	52812	47274
1583	52839	47235
1584	52871	47200
1585	52898	47161
1586	52934	47130
1587	52960	47090
1588	52985	47049
1589	53010	47009
1590	53033	46967
1591	53063	46930
1592	53095	46895
1593	53119	46854
1594	53144	46814
1595	53171	46775
1596	53199	46737
1597	53226	46698
1598	53249	46655
1599	53272	46613
1600	53297	46572
1601	53323	46533
1602	53346	46491
1603	53369	46449
1604	53393	46407
1605	53424	46372
1606	53454	46336
1607	53478	46294
1608	53506	46257
1609	53570	46250
1610	53600	46214
1611	53640	46187
1612	53670	46150
1613	53694	46109
1614	53719	46068
1615	53748	46031
1616	53772	45991
1617	53796	45949
1618	53819	45908
1619	53850	45872
1620	53874	45831
1621	53899	45791
1622	53925	45752
1623	53959	45719
1624	53997	45689
1625	54026	45653
1626	54056	45617
1627	54083	45578
1628	54106	45537
1629	54131	45497
1630	54155	45456
1631	54183	45418
1632	54214	45383
1633	54238	45342
1634	54268	45306
1635	54300	45272
1636	54338	45243
1637	54367	45207
1638	54398	45171
1639	54426	45134
1640	54461	45102
1641	54493	45067
1642	54520	45030
1643	54544	44989
1644	54572	44951
1645	54606	44919
1646	54637	44884
1647	54663	44845
1648	54694	44810
1649	54728	44777
1650	54762	44745
1651	54793	44710
1652	54824	44675
1653	54856	44641
1654	54889	44608
1655	54921	44573
1656	54951	44538
1657	54988	44508
1658	55020	44474
1659	55048	44436
1660	55075	44398
1661	55105	44363
1662	55139	44330
1663	55176	44300
